price_eth,price_usd,transaction_date,seller_address,background,eyes,mouth,clothes
0.084,111.09356879798138,2022-09-25T02:16:11,294,17,22,1,16
0.0,0.0,2022-09-25T02:16:35,337,15,26,18,1
0.0,0.0,2022-09-25T02:17:23,337,15,19,12,20
0.0,0.0,2022-09-25T02:17:35,742,19,6,12,16
0.001,1.3225424856902543,2022-09-25T02:17:47,701,3,5,17,14
0.001,1.3225424856902543,2022-09-25T02:17:47,928,2,7,17,9
0.0075,9.919068642676908,2022-09-25T02:17:47,874,20,0,0,23
0.0023,3.041847717087585,2022-09-25T02:18:11,180,23,25,19,23
0.0,0.0,2022-09-25T02:19:11,337,18,8,18,20
0.0,0.0,2022-09-25T02:19:59,145,23,0,10,0
0.001,1.3225424856902543,2022-09-25T02:19:59,964,1,9,15,16
0.0045,5.951441185606145,2022-09-25T02:20:23,690,16,6,4,8
0.043,56.86932688468094,2022-09-25T02:20:35,779,0,0,17,24
0.0,0.0,2022-09-25T02:21:11,306,23,24,1,17
0.073,96.54560145538858,2022-09-25T02:21:47,821,15,12,0,16
0.014,18.503093670873337,2022-09-25T02:07:23,751,0,0,0,18
0.075,99.19068642676908,2022-09-25T02:22:11,612,16,0,16,16
0.004,5.290169942761017,2022-09-25T02:22:59,63,16,9,11,16
0.077,101.8357713981496,2022-09-25T02:23:11,139,16,6,12,16
0.004,5.290169942761017,2022-09-25T02:23:11,354,17,15,3,16
0.0099,13.09317060833352,2022-09-25T02:23:47,118,20,0,17,3
0.05,65.95789204295446,2022-09-25T01:51:35,140,22,11,22,16
0.0042,5.554678439899068,2022-09-25T02:24:35,369,16,0,22,16
0.088,116.3837387407424,2022-09-25T02:25:23,518,6,6,0,16
0.0016999,2.248189971424864,2022-09-25T02:25:35,82,2,5,17,14
11.0,14547.967342592798,2022-09-25T02:25:59,561,19,15,17,16
0.028,37.03118959932712,2022-09-25T02:26:11,767,13,0,0,0
0.012,15.870509828283051,2022-09-25T02:26:35,141,0,0,0,0
0.0,0.0,2022-09-25T02:26:47,963,13,0,0,16
0.11,145.47967342592798,2022-09-25T02:26:47,596,17,6,10,16
0.097,128.28662111195467,2022-09-25T02:27:35,872,19,10,16,17
2.5,3306.356214225636,2022-09-25T02:28:11,196,4,6,16,0
0.06,79.35254914141527,2022-09-25T02:28:23,68,7,9,21,7
0.159,210.28425522475044,2022-09-25T02:28:47,665,6,6,17,23
0.082,108.44848382660086,2022-09-25T02:28:59,917,6,10,16,8
0.027,35.70864711363687,2022-09-25T02:29:23,327,18,18,11,17
0.003,3.9676274570707633,2022-09-25T02:29:23,389,5,15,0,0
0.032,42.32135954208814,2022-09-25T02:29:59,148,20,25,5,3
0.0025,3.306356214225636,2022-09-25T02:30:11,250,1,3,4,16
0.0,0.0,2022-09-25T02:30:23,432,20,4,9,17
0.0125,16.53178107112818,2022-09-25T02:30:35,152,15,11,18,21
0.04,52.901699427610176,2022-09-25T02:30:35,481,14,25,14,16
0.1175,155.3987420686049,2022-09-25T02:30:47,752,6,12,17,17
0.0069,9.125543151262756,2022-09-25T02:30:47,94,0,15,12,16
0.062,81.99763411279578,2022-09-25T02:30:59,453,16,9,15,6
0.0303,40.07303731641471,2022-09-25T02:31:23,671,16,0,0,6
1.69,2235.09680081653,2022-09-25T02:31:23,687,5,6,11,0
0.0,0.0,2022-09-25T02:32:47,45,18,17,19,17
0.001,1.3225424856902543,2022-09-25T02:32:47,964,16,7,13,16
0.288,380.89223587879326,2022-09-25T02:32:47,753,15,18,1,17
0.1,132.25424856902544,2022-09-25T02:32:47,19,5,13,17,16
0.07,92.5779739983178,2022-09-25T02:32:47,239,18,26,13,18
0.04,52.901699427610176,2022-09-25T02:32:47,855,16,0,17,5
0.0,0.0,2022-09-25T02:32:59,370,16,18,7,25
0.465,614.9822558459683,2022-09-25T02:32:59,913,5,6,0,16
0.0332,43.84925836258106,2022-09-25T01:23:47,115,16,8,0,16
0.09,119.0288237121229,2022-09-25T02:33:23,940,21,10,16,24
0.0018,2.3805764742424578,2022-09-25T02:33:23,29,4,1,17,5
0.025,33.06356214225636,2022-09-25T02:34:11,989,6,0,0,16
1.27,1679.6289568266232,2022-09-25T02:34:23,879,3,6,0,0
0.1009,133.44453680614666,2022-09-25T02:34:23,614,19,15,17,14
0.05,66.12712428451272,2022-09-25T02:34:35,447,0,0,0,0
